backend,caware,nodes,tasks,elements,DoFs,mean-perf,mean-perf-per-GPU
opencl,0,1,1.0,48,132893440,1085362087.922369,1085362087.922369
opencl,0,1,2.0,60,262885120,2470126304.727239,1235063152.3636196
opencl,0,1,4.0,76,540000000,4710122113.187302,1177530528.2968254
opencl,0,2,8.0,96,1097440000,9091788109.06818,1136473513.6335225
opencl,0,4,16.0,121,2211840000,16380999623.62896,1023812476.47681
opencl,0,8,32.0,152,4406977280,30424649729.3252,950770304.0414125
