directory,filename,prefix,partition,accelerator,nodelist,steps,backend,caware,order,precision,nodes,tasks,etype,elements,DoFs,mean-perf,mean-perf-per-GPU
solns/acesStrongpartitionpvc_gpupvc_nodelistac026_steps10000_backendopencl_caware0_order3_precisiondouble_nodes2_tasks8_hex96,degrees_of_freedom.dat,acesStrong,pvc,pvc,ac026,10000,opencl,0,3,double,2,8.0,hex,96,1097440000,8939714829.136494,1117464353.6420617
solns/acesStrongpartitionpvc_gpupvc_nodelistac026_steps10000_backendopencl_caware0_order3_precisiondouble_nodes4_tasks16_hex96,degrees_of_freedom.dat,acesStrong,pvc,pvc,ac026,10000,opencl,0,3,double,4,16.0,hex,96,1097440000,14221791698.345629,888861981.1466018
solns/acesStrongpartitionpvc_gpupvc_nodelistac026_steps10000_backendopencl_caware0_order3_precisiondouble_nodes4_tasks16_hex128,degrees_of_freedom.dat,acesStrong,pvc,pvc,ac026,10000,opencl,0,3,double,4,16.0,hex,128,2621930240,16272748388.64124,1017046774.2900774
solns/acesStrongpartitionpvc_gpupvc_nodelistac026_steps10000_backendopencl_caware0_order3_precisiondouble_nodes4_tasks16_hex32,degrees_of_freedom.dat,acesStrong,pvc,pvc,ac026,10000,opencl,0,3,double,4,16.0,hex,32,38132480,1968035198.126033,123002199.88287707
solns/acesStrongpartitionpvc_gpupvc_nodelistac026_steps10000_backendopencl_caware0_order3_precisiondouble_nodes4_tasks16_hex64,degrees_of_freedom.dat,acesStrong,pvc,pvc,ac026,10000,opencl,0,3,double,4,16.0,hex,64,320060160,11353705907.6201,709606619.2262563
solns/acesStrongpartitionpvc_gpupvc_nodelistac026_steps10000_backendopencl_caware0_order3_precisiondouble_nodes8_tasks32_hex64,degrees_of_freedom.dat,acesStrong,pvc,pvc,ac026,10000,opencl,0,3,double,8,32.0,hex,64,320060160,10371497328.410122,324109291.5128163
solns/acesStrongpartitionpvc_gpupvc_nodelistac026_steps10000_backendopencl_caware0_order3_precisiondouble_nodes8_tasks32_hex32,degrees_of_freedom.dat,acesStrong,pvc,pvc,ac026,10000,opencl,0,3,double,8,32.0,hex,32,38132480,1263253044.234407,39476657.63232522
solns/acesStrongpartitionpvc_gpupvc_nodelistac026_steps10000_backendopencl_caware0_order3_precisiondouble_nodes8_tasks32_hex128,degrees_of_freedom.dat,acesStrong,pvc,pvc,ac026,10000,opencl,0,3,double,8,32.0,hex,128,2621930240,27651253865.558533,864101683.2987041
solns/acesStrongpartitionpvc_gpupvc_nodelistac026_steps10000_backendopencl_caware0_order3_precisiondouble_nodes8_tasks32_hex96,degrees_of_freedom.dat,acesStrong,pvc,pvc,ac026,10000,opencl,0,3,double,8,32.0,hex,96,1097440000,22563653423.040478,705114169.4700149
solns/acesWeakpartitionpvc_gpupvc_nodelistac026_steps10000_backendopencl_caware0_order3_precisiondouble_nodes1_tasks1_hex48,degrees_of_freedom.dat,acesWeak,pvc,pvc,ac026,10000,opencl,0,3,double,1,1.0,hex,48,132893440,1085362087.922369,1085362087.922369
solns/acesWeakpartitionpvc_gpupvc_nodelistac026_steps10000_backendopencl_caware0_order3_precisiondouble_nodes1_tasks2_hex60,degrees_of_freedom.dat,acesWeak,pvc,pvc,ac026,10000,opencl,0,3,double,1,2.0,hex,60,262885120,2470126304.727239,1235063152.3636196
solns/acesWeakpartitionpvc_gpupvc_nodelistac026_steps10000_backendopencl_caware0_order3_precisiondouble_nodes1_tasks4_hex76,degrees_of_freedom.dat,acesWeak,pvc,pvc,ac026,10000,opencl,0,3,double,1,4.0,hex,76,540000000,4710122113.187302,1177530528.2968254
solns/acesWeakpartitionpvc_gpupvc_nodelistac026_steps10000_backendopencl_caware0_order3_precisiondouble_nodes2_tasks8_hex96,degrees_of_freedom.dat,acesWeak,pvc,pvc,ac026,10000,opencl,0,3,double,2,8.0,hex,96,1097440000,9091788109.06818,1136473513.6335225
solns/acesWeakpartitionpvc_gpupvc_nodelistac026_steps10000_backendopencl_caware0_order3_precisiondouble_nodes4_tasks16_hex121,degrees_of_freedom.dat,acesWeak,pvc,pvc,ac026,10000,opencl,0,3,double,4,16.0,hex,121,2211840000,16380999623.62896,1023812476.47681
solns/acesWeakpartitionpvc_gpupvc_nodelistac026_steps10000_backendopencl_caware0_order3_precisiondouble_nodes8_tasks32_hex152,degrees_of_freedom.dat,acesWeak,pvc,pvc,ac026,10000,opencl,0,3,double,8,32.0,hex,152,4406977280,30424649729.3252,950770304.0414125
