backend,elements,DoFs,mean-perf
opencl,8,439040,257277859.061393
opencl,12,1703680,799159933.48468
opencl,16,4320000,1340319121.14019
opencl,24,15573760,1381272014.897985
opencl,32,38132480,1203035743.274249
opencl,48,132893440,1127652510.718514
opencl,64,320060160,1317717559.83428
opencl,40,75928320,1308687470.359185
opencl,80,631089920,1140718333.306642
